record,uuid,status,dTrack,qtime,rnid,consent,HH1,HH23r1,HH23r2,HH23r3,HHCr1,HHCr2,HHCr3,HHAr1,HHAr2,HHAr3,HH4,HH5,HH6r1,HH6r2,HH6r3,HH6r4,HH6r5,HH6r6,HH6r6oe,HHR,Q2,hRegionUS,HH7,HH7r3oe,HHO,HH8,HH8r8oe,HH9,HH10,HH10_1,HH11,HH12r1,noanswerHH12_r8,HH12a,HH13r1,noanswerHH13_r8,HH13a,HHI,ESC1r1,ESC1r2,ESC1r3,ESC1r4,ESC1r5,ESC1ar1,ESC1ar2,ESC1ar3,ESC1ar4,ESC1ar5,ESC1ar6,ESC1br1c1,ESC1br2c1,ESC1br3c1,ESC1br4c1,ESC1b_1r1c2,ESC1b_1r2c2,ESC1b_1r3c2,ESC1b_1r4c2,ESC1b1r1,ESC1b1r2,ESC1b1r3,ESC1b1r4,ESC1cr1c1,ESC1cr2c1,ESC1cr3c1,ESC1cr4c1,ESC1c_1r1c2,ESC1c_1r2c2,ESC1c_1r3c2,ESC1c_1r4c2,ESC1c1r1,ESC1c1r2,ESC1c1r3,ESC1c1r4,ESC2,ESC2a,ESC2b,ESC2c,EB2a,EB2a1,EB3a,EB3a1,EB2b,EB2b1,EB3b,EB3b1,EB2c,EB2c1,EB3c,EB3c1,EB2d,EB2d1,EB3d,EB3d1,EB2e,EB2e1,EB3e,EB3e1,EB4,Q4ar1,Q4ar2,Q4ar3,Q4ar4,Q4ar5,Q4ar6,Q4ar6oe,EB5r1,EB5r2,EB5r3,EB5r4,EB6r1,EB6r2,EB6r3,EB6r4,EB7a,Q7a1,Q7a2,Q7a3,EB7b,Q7b1,Q7b2,Q7b3,EB7c,Q7c1,Q7c2,Q7c3,EB7d,Q7d1,Q7d2,Q7d3,EB8a,Q8a1,Q8a2,Q8b1,EB8b,Q8b2,EB8c,Q8c1,Q8c2,EB8d,Q8d1,Q8d2,HEC1r1a,HEC1r1b,HEC1r1c,HEC1r1d,HEC2r1,HEC2r2,HEC2r3,HEC2r4,HEC2r5,HEC2r6,HEC2r7,HEC2r8,HEC2r9,HEC2r10,HEC2r9oe,HEC3r3a,HEC3r3b,HEC3r3c,HEC3r3d,HEC3r3e,HEC3r3f,HEC3r3g,HEC3r3h,HEC4a,HEC4ai,HEC4aii,HEC4b,HEC4bi,HEC4bii,HEC5,HEC5a,HEC5a1,HEC5a2r1,HEC5a2r2,HEC5a2r3,HEC5a2r4,HEC5a2r5,HEC5a2r6,HEC5a2r7,HEC6,HEC6a,HEC6b1,HEC6b2r1,HEC6b2r2,HEC6b2r3,HEC6b2r4,HEC6b2r5,HEC6b2r6,EL1,hEL1r1,EL2,hEL2r1,EL3,CEP1,Q14a1,CEP2,Q14b1,CEP3,Q14c1,CEP4,Q14d1,CEP5,Q14e1,CEP6,CEP7,CEP8r1,CEP8r2,CEP8r3,CEP8r4,EH1a_er1a,EH1a_er2b,EH1a_er3c,EH1a_er4d,EH1a_er5e,EH2,EH2_1r1,EH2_1r2,EH2_1r3,EH2_1r3oe,H1r1,H1r2,H1r3,H1r4,H1r5,H1r6,H1r7,H1r7oe,H2r1,H2r2,H2r3,H2r4,H2r5,H2r6,H2r7,H2r8,H2r9,H2r10,H2r11,H2r12,H2r13,H2r14,H2r15,H2r16,noanswerH2_r17,PSSPSS1,PSSPSS2,PSSPSS3,PSSPSS4,PSSPSS5,PSSPSS6,PSSPSS7,PSSPSS8,PSSPSS9,PSSPSS10,SF1,SF2,SF3,PSQI1,PSQI2a,PSQI2b,FI1,FI2,FI3,FI4
1476,qw7vynw183suhd49,3,0,796.2663767,EPOWG8CTJCD723P4N6,1,1,0,0,1,0,1,0,1,0,0,61,2,1,0,0,0,0,0,,3,44,3,1,,2,2,,3,1987,,3,400,0,,,1,1,1,1,0,0,0,0,1,0,0,0,0,0,177,,,,0,0,0,0,,,,,177,,,,0,0,0,0,,,,,1,34,1,1,2,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,2,,,2,2,,,2,2,,,,,,,,,,,,2,,,,1,1,,,,,,,,2,,,2,2,4,4,0,0,1,1,1,0,0,1,0,0,,4,3,3,2,3,3,3,3,1,74,74,1,77,77,4,2,,,,,,,,,4,2,,,,,,,,2,1,1,1,1,2,,2,,2,,2,,2,,2,2,0,0,0,1,1,1,3,1,1,0,,,,,1,2,2,2,2,2,1,Plaque Psoriasis,2,2,2,1,1,2,2,1,1,1,1,1,2,1,1,2,0,2,2,3,4,4,2,4,4,2,3,2,1,1,1,0,0,1,3,3,3
1484,zfufk4jx3qsav0hz,3,0,568.8428879,EPOWG9272C7ZPGK4N6,1,3,0,0,2,0,1,0,1,0,1,69,2,1,0,0,0,0,0,,3,47,3,1,,2,2,,3,1977,,2,1300,0,,85000,0,,3,1,0,0,0,0,1,0,0,0,0,0,250,,,,0,0,0,0,,,,,250,,,,0,0,0,0,,,,,2,,,,1,2,1,2,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,4,4,3,3,0,0,0,0,0,0,0,0,0,1,,3,3,3,4,3,3,3,3,1,68,65,1,74,72,5,2,,,,,,,,,6,2,,,,,,,,2,1,3,,1,2,,2,,2,,2,,2,,2,2,0,0,1,0,2,2,2,2,2,0,,,,,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,1,2,2,3,3,3,2,3,3,4,1,3,2,2,1,0,0,1,3,3,3
1477,tfhx9hjnpspqjykj,3,0,965.9344652,EPOWG8DBLCY9JWX4N9,1,1,0,0,1,0,1,0,1,0,0,66,2,1,0,0,0,0,0,,3,36,2,1,,2,2,,2,2017,1,2,459,0,,13000,0,,1,1,0,1,0,0,1,0,1,0,0,0,96,,300,,0,0,0,0,,,,,75,,25,,0,0,0,0,,,,,2,,,,1,1,1,1,,,,,1,1,1,3,,,,,,,,,2,0,0,0,0,0,6,Harcatus,2,,2,,2,,2,,2,,,,,,,,2,,,,,,,,1,1,,,,,2,,,,,,3,2,2,3,1,0,0,1,0,1,1,0,0,0,,3,2,3,3,3,2,3,2,1,68,68,1,70,70,5,1,4,0,0,1,0,0,0,0,4,2,,,,,,,,2,1,1,1,1,2,,1,1,2,,1,1,1,1,2,2,0,0,1,1,3,4,2,1,3,0,,,,,2,2,2,2,1,2,,,2,1,1,2,1,1,2,2,2,2,1,2,2,2,2,1,0,3,3,3,3,3,3,3,3,3,3,3,4,4,2,0,2,2,3,3,3
1482,wvp5dvsbuuk2pu6u,3,0,799.2100828,EPOWG8ZLKB28ZPN4N1,1,2,0,0,0,0,1,0,0,0,1,64,1,1,0,0,0,0,0,,1,10,3,1,,2,2,,2,2016,1,3,300,0,,50000,0,,2,1,0,0,0,0,1,0,0,0,0,0,100,,,,0,0,0,0,,,,,60,,,,0,0,0,0,,,,,1,50,1,1,2,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,1,,,2,2,,,2,2,,,,,,,,,,,,2,,,,1,1,,,,,,,,2,,,2,3,3,3,0,0,0,1,1,1,0,1,0,0,,3,2,3,2,3,2,2,2,1,72,60,1,82,72,4,2,,,,,,,,,4,2,,,,,,,,2,1,1,1,1,1,2,2,,2,,2,,2,,2,2,0,0,1,0,2,2,2,2,1,0,,,,,2,2,2,1,1,2,,,,,,,,,,,,,,,,,,,1,1,1,1,5,5,1,5,5,1,1,1,1,1,0,0,0,1,3,3,3
1468,fjr56sjtm3ffvypz,3,0,1598.52892,EPOWG7PFPPFSJBQ4N4,1,1,0,1,0,0,1,0,0,1,0,63,2,1,0,0,0,0,0,,3,44,3,1,,2,2,,3,1989,,2,200,0,,19000,0,,1,1,1,0,0,0,1,1,0,0,0,0,100,150,,,0,0,0,0,,,,,150,50,,,0,0,0,0,,,,,1,57,1,1,1,1,1,2,2,,,,,,,,,,,,2,,,,2,0,2,0,0,0,0,,2,2,,2,2,2,,2,2,,,,2,,,,,,,,2,,,,1,1,,,2,,,,,1,1,,2,2,3,1,0,0,0,0,0,0,0,0,1,0,Carpet,2,3,3,2,3,4,4,2,1,68,65,1,75,80,5,1,1,0,0,0,0,0,0,1,3,2,,,,,,,,2,1,3,,2,1,1,2,,1,2,2,,1,2,2,2,0,0,1,1,3,3,4,4,3,1,1,0,0,,1,2,1,2,1,1,1,Severe COPD;Fibromyalgia,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,0,5,5,5,5,3,4,2,2,5,5,6,5,4,3,2,1,2,3,2,1
1479,45zd0zq8f8bfb668,3,0,3352.575796,EPOWG8RXLCKJKJN4N4,1,2,0,0,2,0,1,0,1,0,0,55,2,0,1,0,0,0,0,,2,10,3,1,,2,2,,3,2004,,4,1062,0,,129000,0,,3,1,0,0,0,0,1,0,0,0,0,0,169,,,,0,0,0,0,,,,,259,,,,0,0,0,0,,,,,1,30,1,1,2,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,2,,,2,2,,,2,2,,,,,,,,,,,,2,,,,1,3,,,,,,,,2,,,4,4,4,4,0,0,0,0,0,0,0,0,0,1,,4,4,3,4,4,4,4,3,1,74,70,1,78,78,4,2,,,,,,,,,3,2,,,,,,,,4,,1,1,2,2,,2,,2,,2,,2,,2,2,1,0,0,0,2,2,1,1,1,0,,,,,1,2,1,2,1,2,,,1,1,2,1,1,1,2,1,1,2,2,2,2,1,1,1,0,3,4,5,4,2,5,4,3,5,3,4,4,4,3,0,3,1,3,3,3
1457,b7f16r318jzzjcvh,3,0,1856.230754,EPOWG7FF3T88QV94N4,1,1,0,0,1,0,1,0,1,0,0,65,2,0,1,0,0,0,0,,2,36,2,2,,1,5,,1,2010,,4,1800,0,,54000,0,,3,1,1,0,0,0,1,1,0,0,0,0,75,20,,,0,0,0,0,,,,,75,0,,,0,0,0,0,,,,,1,54,1,2,1,1,1,2,2,,,,,,,,,,,,1,1,1,1,2,0,0,3,0,0,0,,2,2,,2,1,2,,1,2,,,,2,,,,,,,,2,,,,1,1,,,2,,,,,2,,,4,4,3,3,0,0,0,0,0,0,0,0,0,1,,4,3,4,3,3,4,4,4,1,70,60,1,70,70,4,2,,,,,,,,,3,1,1,0,0,0,0,0,1,3,,1,1,1,1,1,2,,1,1,2,,1,1,2,2,1,0,0,0,3,2,1,1,2,0,,,,,1,2,2,2,1,2,1,Transplant  recipient,2,1,2,1,2,1,2,2,2,2,2,2,2,2,1,1,0,3,1,2,5,4,1,5,4,2,3,3,3,1,1,0,2,3,2,2,2
1488,3p7v7gx39fk4e221,3,0,727.111876,EPOWG95B3PRTSQ64N4,1,2,0,0,2,0,1,0,1,0,0,71,1,1,0,0,0,0,0,,1,43,3,1,,2,2,,3,1992,,2,500,0,,150000,0,,3,1,1,0,0,0,1,1,0,0,0,0,175,40,,,0,0,0,0,,,,,180,30,,,0,0,0,0,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,4,4,,,2,2,,,2,,,,2,,,,,,,,,,,,1,1,,,2,,,,,,,,4,4,4,4,0,0,0,0,0,0,0,0,0,1,,4,4,4,4,4,4,4,4,1,68,68,1,78,78,2,2,,,,,,,,,6,2,,,,,,,,2,1,2,,1,2,,2,,2,,2,,2,,2,2,1,0,0,0,5,5,5,5,5,0,,,,,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,5,5,1,4,5,2,1,1,1,1,0,0,0,1,3,3,3
1487,yhcw77n205m5h27p,3,0,780.5660365,EPOWG94M4PWNMP24N6,1,5,0,2,3,0,1,0,1,1,0,56,2,0,1,0,0,0,0,,2,21,3,1,,2,2,,4,2011,,2,1120,0,,1102,0,,1,1,1,0,0,0,1,1,0,0,0,0,41,153,,,0,0,0,0,,,,,41,153,,,0,0,0,0,,,,,1,171,3,2,2,,,,2,,,,,,,,,,,,2,,,,1,,,,,,,,3,3,,3,3,3,,3,2,,,,2,,,,,,,,2,,,,2,,,,2,,,,,2,,,4,4,4,4,0,0,0,0,0,0,0,0,0,1,,4,4,4,4,4,4,4,4,1,73,73,1,70,70,4,2,,,,,,,,,4,2,,,,,,,,2,1,1,1,3,2,,2,,2,,2,,2,,2,2,1,0,0,0,5,5,5,5,5,0,,,,,2,2,2,2,2,2,2,NONE,,,,,,,,,,,,,,,,,1,1,1,1,5,5,1,3,4,3,1,2,3,1,1,0,1,1,3,3,3
1485,r0gcvyhkh4rhqacs,3,0,913.9730182,EPOWG93TCTYKVNH4N7,1,1,0,0,1,0,1,0,1,0,0,76,2,1,0,0,0,0,0,,3,23,2,1,,2,2,,3,1995,,3,,1,1,24000,0,,2,1,1,0,0,0,1,1,0,0,0,0,103,104,,,0,0,0,0,,,,,30,40,,,0,0,0,0,,,,,1,75,3,2,2,,,,2,,,,,,,,,,,,2,,,,1,,,,,,,,2,2,,2,2,2,,2,2,,,,2,,,,,,,,2,,,,1,1,,,2,,,,,2,,,4,4,3,3,0,0,0,0,0,0,0,0,0,1,,4,4,4,4,4,4,4,4,1,69,65,1,70,70,5,2,,,,,,,,,4,2,,,,,,,,4,,1,1,1,2,,2,,2,,2,,2,,2,2,0,0,0,1,1,1,1,1,1,0,,,,,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,1,1,1,1,5,5,1,5,5,1,1,1,1,1,0,0,0,1,3,3,3
1481,q5a8yr6zp348jkxn,3,0,1012.826107,EPOWG8Y766ZRCJD4N0,1,2,0,0,2,0,1,0,1,0,0,71,2,1,0,0,0,0,0,,3,16,2,1,,2,2,,2,2012,,1,,1,1,15000,0,,1,1,1,0,0,0,1,1,0,0,0,0,100,75,,,0,0,0,0,,,,,75,50,,,0,0,0,0,,,,,1,25,1,2,2,,,,2,,,,,,,,,,,,2,,,,1,,,,,,,,2,2,,2,2,2,,2,2,,,,2,,,,,,,,2,,,,1,1,,,2,,,,,2,,,3,3,3,3,0,0,0,0,0,0,0,0,0,1,,3,3,3,3,3,3,3,3,1,65,65,1,75,75,5,2,,,,,,,,,3,2,,,,,,,,2,1,3,,2,1,1,2,,2,,2,,2,,2,2,0,0,0,1,1,1,1,1,1,0,,,,,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,5,1,1,5,2,1,1,0,0,0,1,3,3,3
1483,pycd4v63yeyfg7y5,3,0,1001.206094,EPOWG9256VV472F4N0,1,1,0,1,0,0,1,0,0,1,0,44,2,1,0,0,0,0,0,,3,48,4,2,,1,6,,0,2010,,5,,1,1,,1,1,1,1,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,4,,,,2,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,3,3,3,3,0,0,0,0,0,0,0,0,0,1,,3,3,3,3,3,3,3,3,1,65,65,1,80,70,4,2,,,,,,,,,3,2,,,,,,,,4,,1,1,2,2,,2,,2,,2,,2,,2,2,0,0,1,0,1,1,1,1,1,0,,,,,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,1,2,1,1,5,3,2,3,4,3,1,4,1,1,2,0,0,1,3,3,3
1478,c11b4p85gtbuecyq,3,0,1254.948866,EPOWG8DJ53TSG764N1,1,2,0,0,2,0,1,0,1,0,0,68,1,1,0,0,0,0,0,,1,5,4,1,,2,2,,3,1975,,2,700,0,,90000,0,,3,1,1,0,0,0,1,1,0,0,0,0,70,150,,,0,0,0,0,,,,,200,10,,,0,0,0,0,,,,,1,45,2,2,2,,,,2,,,,,,,,,,,,2,,,,1,,,,,,,,2,2,,2,2,2,,2,2,,,,2,,,,,,,,2,,,,1,2,,,2,,,,,2,,,3,4,4,4,0,0,0,0,0,0,0,0,0,1,,4,3,4,3,4,4,3,4,1,68,65,1,80,75,4,2,,,,,,,,,4,2,,,,,,,,2,1,1,1,2,2,,2,,2,,2,,2,,2,2,0,0,0,1,1,1,1,1,1,0,,,,,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,1,1,1,1,4,5,1,5,5,1,1,1,1,1,0,0,0,1,3,3,3
1495,ww1hhx5yay2e263h,3,0,669.3341639,EPOWG9WQJXYNN6W4N8,1,2,0,0,0,0,1,0,0,0,1,57,1,1,0,0,0,0,0,,1,1,3,1,,2,2,,3,2017,1,1,300,0,,94000,0,,3,1,0,0,0,0,1,0,0,0,0,0,275,,,,0,0,0,0,,,,,300,,,,0,0,0,0,,,,,1,55,1,1,2,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,2,,,2,2,,,2,2,,,,,,,,,,,,2,,,,1,3,,,,,,,,2,,,2,3,2,4,0,0,0,0,0,0,0,1,0,0,,3,2,4,1,4,3,3,4,1,70,65,1,74,74,6,1,3,0,0,0,0,1,0,0,3,2,,,,,,,,2,1,1,1,1,2,,2,,2,,2,,2,,2,2,0,0,1,0,3,2,1,1,1,0,,,,,2,1,2,2,2,2,2,None,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,3,5,3,1,5,4,2,2,3,3,2,2,0,0,1,3,3,3
1496,g053ycw2t3qdedsu,3,0,1918.381862,EPOWG9YGRV68SQF4N2,1,1,0,0,1,0,1,0,1,0,0,37,2,0,1,0,0,0,0,,2,21,3,2,,1,3,,1,2016,1,5,,1,7,,1,1,1,1,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,4,4,4,4,0,0,0,0,0,0,0,0,0,1,,4,4,4,4,4,4,4,4,1,75,75,1,75,75,4,2,,,,,,,,,4,2,,,,,,,,2,1,4,,5,2,,1,1,2,,2,,2,,2,2,0,0,0,1,5,5,5,5,5,0,,,,,2,2,2,2,2,2,,,2,1,2,2,1,1,2,2,2,2,1,2,1,1,1,1,0,3,4,4,4,3,2,1,3,2,2,2,1,2,0,0,0,2,2,2,2
1486,0hp19c98ga2bhjzq,3,0,1181.661484,EPOWG94BYTQD8HQ4N8,1,4,0,2,0,0,1,0,0,1,1,24,1,1,0,0,0,0,0,,1,44,3,2,,1,2,,3,1997,,5,825,0,,56000,0,,3,1,1,0,0,0,1,1,0,0,0,0,100,50,,,0,0,0,0,,,,,100,30,,,0,0,0,0,,,,,1,120,1,1,2,,,,2,,,,,,,,,,,,2,,,,1,,,,,,,,3,3,,3,2,2,,2,2,,,,2,,,,,,,,2,,,,2,,,,2,,,,,2,,,3,3,3,3,0,0,0,0,0,0,0,1,0,0,,3,3,3,3,3,3,3,3,2,,,2,,,2,2,,,,,,,,,3,1,1,0,0,0,0,0,1,4,,1,1,2,2,,1,1,2,,2,,2,,2,2,0,0,0,1,5,5,5,5,5,0,,,,,2,2,1,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,3,1,2,2,3,2,2,2,2,2,3,2,2,2,2,1,2,3,2,3
1492,ybqtbgjpg973jd1a,3,0,955.4552715,EPOWG9RG3BBNTN84N9,1,1,0,0,1,0,1,0,1,0,0,67,2,0,1,0,0,0,0,,2,5,4,2,,1,5,,1,1980,,1,2000,0,,30000,0,,2,1,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,0,0,0,1,,3,3,3,3,3,3,3,3,1,60,45,1,75,60,7,1,2,0,0,0,0,0,0,1,4,2,,,,,,,,2,1,3,,1,1,1,2,,2,,2,,2,,2,2,0,0,0,1,1,1,1,1,1,0,,,,,2,2,2,2,2,2,2,Legs,2,2,2,2,2,2,2,2,2,2,2,2,2,2,99,2,0,1,1,1,2,5,1,5,5,1,1,2,2,2,1,0,0,1,3,3,3
1506,ds7ydw3h2pr7n334,3,0,395.4021664,EPOWGBBJPWFP76K4N8,1,3,1,2,0,1,0,1,0,1,0,32,2,1,0,0,0,0,0,,3,22,1,2,,1,5,,2,2000,,5,1000,0,,,1,1,1,1,0,0,0,0,1,0,0,0,0,0,,,,,1,0,0,0,2,,,,160,,,,0,0,0,0,,,,,2,,,,1,1,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,3,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,3,3,3,3,0,0,0,0,0,0,0,0,0,1,,3,3,3,3,3,4,3,2,1,70,74,1,65,67,4,2,,,,,,,,,8,2,,,,,,,,3,,3,,2,1,1,2,,2,,2,,2,,2,2,1,0,0,0,2,2,2,1,1,0,,,,,2,2,2,2,2,2,,,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,2,3,2,2,3,2,2,1,4,3,2,1,0,0,2,2,2,3
1494,0pmpf5p5jrx2akzj,3,0,940.6264727,EPOWG9WP6G8TJ774N8,1,1,0,0,1,0,1,0,1,0,0,71,2,1,0,0,0,0,0,,3,5,4,2,,1,7,,2,2011,,3,1300,0,,2300,0,,1,1,1,0,0,0,1,1,0,0,0,0,40,25,,,0,0,0,0,,,,,100,15,,,0,0,0,0,,,,,1,45,1,1,2,,,,2,,,,,,,,,,,,2,,,,1,,,,,,,,2,2,,2,2,2,,2,2,,,,2,,,,,,,,2,,,,2,,,,2,,,,,2,,,3,3,3,3,0,0,0,0,0,0,0,0,0,1,,2,2,2,2,3,3,2,3,1,68,66,1,83,80,4,1,2,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,4,,1,1,3,1,3,2,,1,3,2,,2,,2,2,0,0,1,0,3,2,2,1,1,0,,,,,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,1,2,3,2,4,2,2,2,4,1,2,2,1,1,1,1,1,1,3,3,3
1500,k68pk41fbqs66qkn,3,0,3978.53834,EPOWGB433MBK4YR4N7,1,2,0,0,0,0,1,0,0,0,1,49,2,0,1,0,0,0,0,,2,44,3,2,,1,2,,4,2015,1,4,2700,0,,150000,0,,3,1,1,0,0,0,1,1,0,0,0,0,180,60,,,0,0,0,0,,,,,350,25,,,0,0,0,0,,,,,1,45,1,1,2,,,,2,,,,,,,,,,,,2,,,,1,,,,,,,,2,2,,2,2,2,,2,2,,,,2,,,,,,,,2,,,,1,1,,,2,,,,,2,,,4,4,3,4,0,0,0,0,0,0,0,0,0,1,,3,3,4,3,4,4,4,4,1,74,73,1,72,71,2,2,,,,,,,,,6,2,,,,,,,,2,1,3,,1,2,,2,,2,,2,,2,,2,2,0,0,0,1,2,1,1,1,1,0,,,,,1,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,1,1,5,4,1,5,5,1,1,2,2,2,1,0,0,1,3,3,3
1491,nzffwxyan4n7bftd,3,0,5580.96567,EPOWG9QJWFRWWSX4N8,1,1,0,0,0,0,1,0,0,0,1,54,2,1,0,0,0,0,0,,3,25,3,1,,2,2,,3,2000,,2,700,0,,,1,1,1,1,1,0,0,0,1,1,0,0,0,0,100,250,,,0,0,0,0,,,,,275,35,,,0,0,0,0,,,,,1,15,1,1,2,,,,2,,,,,,,,,,,,2,,,,1,,,,,,,,2,2,,2,2,2,,2,2,,,,2,,,,,,,,2,,,,1,1,,,2,,,,,1,1,,3,2,3,3,1,0,0,0,0,0,0,0,0,0,,3,3,3,4,3,3,3,3,1,68,68,1,70,70,4,2,,,,,,,,,4,2,,,,,,,,2,1,3,,3,2,,2,,2,,2,,2,,2,2,0,0,0,1,1,1,1,1,1,0,,,,,1,2,1,2,2,2,2,None,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,2,2,3,4,3,2,3,3,3,2,3,2,1,1,0,0,1,3,3,3
1501,80z487380r45pae0,3,0,678.302665,EPOWGB6CQYDJW9Q4N7,1,2,0,0,2,0,1,0,1,0,0,65,1,1,0,0,0,0,0,,1,10,3,1,,2,2,,3,1998,,3,1200,0,,24000,0,,2,1,0,0,0,0,1,0,0,0,0,0,75,,,,0,0,0,0,,,,,145,,,,0,0,0,0,,,,,1,55,1,2,2,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,2,,,2,2,,,2,2,,,,,,,,,,,,2,,,,2,,,,,,,,,2,,,3,3,3,4,0,0,0,0,0,1,0,0,0,0,,3,3,3,3,3,3,2,3,2,,,1,95,90,7,2,,,,,,,,,1,2,,,,,,,,2,1,1,1,1,1,3,2,,2,,2,,2,,2,2,0,0,0,1,2,3,2,1,1,0,,,,,2,1,2,2,1,2,1,Low back pain,2,1,2,1,1,1,2,2,2,1,2,2,1,2,2,1,0,4,4,4,4,3,4,3,3,4,4,3,4,4,2,1,2,2,2,2,2
1505,rg6kxcnnfupr7y2x,3,0,588.5248961,EPOWGBBJ8GDRGXP4N7,1,2,0,0,1,0,1,0,1,0,1,41,1,1,0,0,0,0,0,,1,10,3,1,,2,2,,3,1989,,3,400,0,,85000,0,,3,1,0,0,0,0,1,0,0,0,0,0,115,,,,0,0,0,0,,,,,115,,,,0,0,0,0,,,,,1,60,3,1,2,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,2,,,2,2,,,2,2,,,,,,,,,,,,2,,,,2,,,,,,,,,2,,,3,2,3,3,0,1,0,0,0,1,1,0,0,0,,2,2,2,4,3,3,3,2,1,78,78,1,78,78,6,2,,,,,,,,,6,2,,,,,,,,3,,4,,4,2,,2,,2,,2,,2,,2,2,0,0,0,1,2,3,1,1,1,0,,,,,2,2,2,2,1,2,2,None,1,1,1,1,1,1,2,2,2,2,1,2,2,2,1,2,0,2,2,4,3,2,3,3,3,4,3,4,2,2,2,0,0,1,3,3,3
1504,m8dhnvb4q18jqctn,3,0,620.0384901,EPOWGBBDTRJVQ8N4N1,1,3,1,2,0,1,0,1,0,1,0,37,2,1,0,0,0,0,0,,3,44,3,1,,2,2,,3,2015,2,4,2125,0,,121000,0,,3,1,1,0,0,0,1,1,0,0,0,0,80,100,,,0,0,0,0,,,,,120,35,,,0,0,0,0,,,,,1,75,1,1,2,,,,2,,,,,,,,,,,,2,,,,1,,,,,,,,2,2,,2,2,2,,2,2,,,,2,,,,,,,,2,,,,1,1,,,2,,,,,2,,,3,3,3,3,0,0,1,0,0,0,0,0,0,0,,3,2,3,2,4,4,4,3,1,70,66,1,78,78,4,2,,,,,,,,,4,2,,,,,,,,2,1,1,1,2,2,,2,,2,,2,,2,,2,2,0,0,1,0,1,1,1,1,1,0,,,,,2,2,2,2,2,2,,,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,0,2,2,2,5,5,2,5,5,2,1,2,1,1,0,0,0,1,3,3,3
1503,bzctpgdjyp6j61va,3,0,774.1661148,EPOWGB6N4WC336B4N3,1,2,0,0,1,0,1,0,1,0,1,71,2,1,0,0,0,0,0,,3,12,4,2,,1,7,,2,2007,,2,2900,0,,15000,0,,1,1,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,3,3,3,3,0,0,0,0,0,0,0,0,0,1,,3,3,3,3,3,3,3,3,2,,,2,,,4,2,,,,,,,,,2,1,4,1,0,0,0,0,0,4,,4,,4,2,,2,,2,,2,,2,,2,2,0,0,0,1,3,3,3,3,3,0,,,,,1,1,2,1,1,1,,,1,1,1,2,2,2,2,1,2,1,1,2,2,1,1,1,0,3,3,4,4,3,3,3,3,3,4,5,4,4,2,1,2,3,2,3,3
