"","rnid","HH1","HH23r1","HH23r2","HH23r3","HHCr1","HHCr2","HHCr3","HHAr1","HHAr2","HHAr3","HH4","HH5","HH6r1","HH6r2","HH6r3","HH6r4","HH6r5","HH6r6","HH6r6oe","HHR","Q2","hRegionUS","HH7","HH7r3oe","HHO","HH8","HH8r8oe","HH9","HH10","HH10_1","HH11","HH12r1","noanswerHH12_r8","HH12a","HH13r1","noanswerHH13_r8","HH13a","HHI","ESC1r1","ESC1r2","ESC1r3","ESC1r4","ESC1ar1","ESC1ar2","ESC1ar3","ESC1ar4","ESC1ar5","wbill","sbill","ESC2","EB2a","EB2b","EB4","EB5r1","EB6r1","EB7a","EB7b","EB7d","EB8a","EB8b","EB8d","HEC1r1a","HEC1r1b","HEC1r1c","HEC1r1d","HEC2r1","HEC2r2","HEC2r3","HEC2r4","HEC2r5","HEC2r6","HEC2r7","HEC2r8","HEC2r9","HEC2r10","HEC3r3a","HEC3r3b","HEC3r3c","HEC3r3d","HEC3r3e","HEC3r3f","HEC3r3g","HEC3r3h","HEC4a","HEC4b","HEC5","HEC5a","HEC6","HEC6a","CEP1","CEP2","CEP3","CEP4","CEP5","CEP6","CEP7","CEP8r1","CEP8r2","CEP8r3","CEP8r4"
"32","EPOVL6R88YLY6YY4N9",2,0,0,2,0,1,0,1,0,0,73,2,1,0,0,0,0,0,"",3,31,1,2,"",1,7,"",1,2005,NA,2,1000,0,NA,50000,0,NA,2,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"33","EPOVL6RZB5VJ84K4N5",1,0,0,1,0,1,0,1,0,0,69,2,1,0,0,0,0,0,"",3,22,1,1,"",2,2,"",4,1975,NA,2,2600,0,NA,50000,0,NA,2,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"34","EPOVL6R24XKMQYY4N1",2,0,2,0,0,1,0,0,1,0,32,2,0,1,0,0,0,0,"",2,21,3,1,"",2,2,"",5,2017,1,4,2000,0,NA,NA,1,6,3,1,0,0,0,0,0,1,0,0,1,1,0,NA,NA,0,1,1,0,NA,NA,0,NA,NA,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"35","EPOVL6TDYZF4RQK4N8",2,0,0,2,0,1,0,1,0,0,77,2,1,0,0,0,0,0,"",3,39,1,1,"",2,2,"",2,2012,NA,4,650,0,NA,130000,0,NA,3,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"36","EPOVL6STYBSRS8S4N4",1,0,0,1,0,1,0,1,0,0,82,2,1,0,0,0,0,0,"",3,39,1,1,"",2,2,"",4,2010,NA,3,1200,0,NA,45,0,NA,1,1,0,0,0,1,0,0,0,0,0,0,0,1,NA,1,1,1,0,NA,NA,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"37","EPOVL6QW8SNT9624N2",2,0,0,2,0,1,0,1,0,0,75,2,1,0,0,0,0,0,"",3,5,4,1,"",2,2,"",3,2004,NA,2,NA,1,1,50000,0,NA,2,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"38","EPOVL677LPZR58S4N3",1,0,0,1,0,1,0,1,0,0,70,1,1,0,0,0,0,0,"",1,10,3,1,"",2,2,"",3,2000,NA,4,3500,0,NA,59999,0,NA,3,1,0,0,0,1,0,0,0,0,0,0,1,0,NA,1,1,1,0,NA,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"39","EPOVL6X23VQYRLX4N5",2,0,0,2,0,1,0,1,0,0,74,2,1,0,0,0,0,0,"",3,36,2,1,"",2,2,"",5,1978,NA,2,400,0,NA,190000,0,NA,3,1,0,0,0,1,0,0,0,0,0,1,1,0,NA,1,1,1,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"40","EPOVL6NV5P4V6HD4N2",1,0,1,0,0,1,0,0,1,0,54,2,1,0,0,0,0,0,"",3,10,3,1,"",2,3,"",2,2018,1,3,500,0,NA,40000,0,NA,2,1,0,0,0,1,0,0,0,0,1,1,1,0,NA,1,1,1,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"41","EPOVL6TSCZSV8RS4N6",2,0,0,0,0,1,0,0,0,1,64,2,1,0,0,0,0,0,"",3,15,2,1,"",2,2,"",4,1999,NA,3,200,0,NA,60000,0,NA,3,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
