"","x"
"861",2
"862",10
"863",2
"864",3
"865",17
"866",2
"867",7
"868",4
"869",4
"870",2
"871",3
"872",4
"873",7
"874",13
"875",23
"876",1
"877",2
"878",1
"879",3
"880",4
"881",1
"882",7
"883",18
"884",0
"885",6
"886",2
"887",8
"888",2
"889",10
"890",1
"891",4
"892",4
"893",9
"894",14
"895",4
"896",16
"897",3
"898",17
"899",2
"900",9
"901",2
"902",2
"903",1
"904",6
"905",2
"906",0
"907",11
"908",8
"909",3
"910",2
"911",18
"912",8
"913",24
"914",4
"915",1
"916",7
"917",20
"918",3
"919",2
"920",6
"921",9
"922",7
"923",2
"924",4
"925",2
"926",2
"927",8
"928",15
"929",1
"930",8
"931",2
"932",11
"933",5
"934",10
"935",4
"936",14
"937",2
"938",2
"939",2
"940",10
"941",3
"942",23
"943",4
"944",2
"945",4
"946",1
"947",8
"948",4
"949",17
"950",13
"951",15
"952",2
"953",8
"954",5
"955",2
"956",2
"957",3
"958",2
"959",9
"960",5
"961",12
"962",4
"963",4
"964",5
"965",10
"966",6
"967",3
"968",10
"969",11
"970",0
"971",6
"972",6
"973",5
"974",4
"975",2
"976",9
"977",3
"978",6
"979",2
"980",7
"981",6
"982",5
"983",2
"984",5
"985",0
"986",5
"987",5
"988",1
"989",10
"990",16
"991",8
"992",5
"993",16
"994",2
"995",8
"996",2
"997",24
"998",6
"999",2
"1000",19
"1001",16
"1002",20
"1003",22
"1004",10
"1005",5
"1006",15
"1007",22
"1008",6
"1009",5
"1010",5
"1011",7
"1012",2
"1013",2
"1014",4
"1015",13
"1016",1
"1017",19
"1018",3
"1019",1
"1020",10
"1021",3
"1022",3
"1023",6
"1024",7
"1025",0
"1026",2
"1027",7
"1028",8
"1029",4
"1030",4
"1031",13
"1032",10
"1033",8
"1034",4
"1035",2
"1036",1
"1037",5
"1038",10
"1039",0
"1040",2
"1041",2
"1042",2
"1043",13
"1044",6
"1045",3
"1046",1
"1047",20
"1048",6
"1049",14
"1050",12
"1051",3
"1052",11
"1053",6
"1054",4
"1055",3
"1056",17
"1057",7
"1058",12
"1059",8
"1060",17
"1061",10
"1062",19
"1063",1
"1064",5
"1065",5
"1066",4
"1067",2
"1068",13
"1069",3
"1070",10
"1071",12
"1072",2
"1073",1
"1074",2
"1075",2
"1076",5
"1077",1
"1078",11
"1079",2
"1080",3
"1081",7
"1082",6
"1083",14
"1084",3
"1085",5
"1086",4
"1087",5
"1088",2
"1089",7
"1090",10
"1091",4
"1092",15
"1093",2
"1094",9
"1095",13
"1096",13
"1097",5
"1098",6
"1099",10
"1100",5
"1101",16
"1102",11
"1103",11
"1104",19
"1105",1
"1106",11
"1107",12
"1108",8
"1109",13
"1110",16
"1111",12
"1112",3
"1113",8
"1114",5
"1115",9
"1116",3
"1117",4
"1118",13
"1119",9
"1120",28
"1121",1
"1122",5
"1123",10
"1124",19
"1125",2
"1126",3
"1127",30
"1128",9
"1129",18
"1130",8
"1131",5
"1132",11
"1133",3
"1134",21
"1135",2
"1136",8
"1137",6
"1138",2
"1139",5
"1140",6
"1141",25
"1142",5
"1143",9
"1144",4
"1145",18
"1146",11
"1147",4
"1148",13
"1149",7
"1150",3
"1151",8
"1152",29
"1153",1
"1154",21
"1155",4
"1156",9
"1157",8
"1158",3
"1159",1
"1160",9
"1161",4
"1162",4
"1163",3
"1164",4
"1165",5
"1166",11
"1167",16
"1168",10
"1169",6
"1170",3
"1171",1
"1172",7
"1173",3
"1174",6
